group,traffic,boundary,exchange,channel_class,scenario,bytes,run-01_legacy_ns,run-01_preferred_ns,run-01_delta_pct,run-02_legacy_ns,run-02_preferred_ns,run-02_delta_pct,run-03_legacy_ns,run-03_preferred_ns,run-03_delta_pct,legacy_median_ns,preferred_median_ns,absolute_delta_ns,delta_pct,speedup
decode_normalize_hot,hot,decode+normalize,binance,public data,binance_bbo,141,539.53619,366.013279,-32.161496,535.95323,365.39795,-31.822792,539.23509,362.55929,-32.764151,539.23509,365.39795,-173.52291,-32.161496,1.474089
decode_normalize_hot,hot,decode+normalize,binance,public data,binance_cm_snapshot,191,754.765491,474.673353,-37.109823,768.906605,497.683816,-35.273827,751.164664,464.627395,-38.145733,754.765491,474.673353,-280.092138,-37.109823,1.590073
decode_normalize_hot,hot,decode+normalize,binance,private data,binance_positions,183,895.236863,462.098441,-48.38255,904.607383,454.583459,-49.747983,901.560106,457.87729,-49.212783,901.560106,457.87729,-443.682817,-49.212783,1.968999
decode_normalize_hot,hot,decode+normalize,binance,private data,binance_spot_order,181,655.27452,445.039196,-32.083549,663.105975,452.364934,-31.780899,654.119953,444.276575,-32.08026,655.27452,445.039196,-210.235324,-32.08026,1.472326
decode_normalize_hot,hot,decode+normalize,binance,public data,binance_trade,132,490.371847,304.06036,-37.99392,493.950605,303.375352,-38.581844,489.887037,303.190557,-38.110108,490.371847,303.375352,-186.69648,-38.110108,1.615773
decode_normalize_hot,hot,decode+normalize,binance,public data,binance_um_diff_depth,202,845.140228,539.798716,-36.129094,837.265109,542.262857,-35.234031,831.363254,519.865031,-37.468366,837.265109,539.798716,-305.341512,-36.129094,1.565658
decode_normalize_hot,hot,decode+normalize,gate,public data,gate_bbo,157,773.040415,453.683631,-41.311784,764.030182,449.926719,-41.111395,780.036351,438.425629,-43.794205,773.040415,449.926719,-319.356784,-41.311784,1.70392
decode_normalize_hot,hot,decode+normalize,gate,public data,gate_incremental,178,832.408541,452.257086,-45.668856,835.02696,473.13516,-43.338936,853.38352,452.90376,-46.928462,835.02696,452.90376,-380.151455,-45.668856,1.840565
decode_normalize_hot,hot,decode+normalize,gate,public data,gate_snapshot,193,965.3218,532.257359,-44.862184,965.255022,540.491844,-44.00528,973.797066,526.345721,-45.949137,965.3218,532.257359,-433.064441,-44.862184,1.813637
decode_normalize_hot,hot,decode+normalize,gate,private data,gate_spot_order,371,1013.589986,712.087125,-29.746038,1015.551756,722.734066,-28.83336,1010.022282,717.927521,-28.919635,1013.589986,717.927521,-292.81769,-28.919635,1.406858
decode_normalize_hot,hot,decode+normalize,gate,public data,gate_trade,218,632.592151,410.913284,-35.042937,625.178489,420.048977,-32.811352,617.071742,407.869454,-33.902426,625.178489,410.913284,-209.202288,-33.902426,1.512915
decode_normalize_hot,hot,decode+normalize,hyperliquid,public data,hyperliquid_bbo,136,1329.536769,528.49989,-60.249321,1379.646919,522.417393,-62.133979,1340.45118,513.761511,-61.672494,1340.45118,522.417393,-826.68967,-61.672494,2.609092
decode_normalize_hot,hot,decode+normalize,hyperliquid,public data,hyperliquid_l2,759,5337.800049,2305.553004,-56.807056,5355.206882,2338.6377,-56.329648,5279.525417,2299.948731,-56.436449,5337.800049,2305.553004,-3016.569183,-56.436449,2.295497
decode_normalize_hot,hot,decode+normalize,hyperliquid,private data,hyperliquid_order,232,970.940016,575.091555,-40.76961,967.20879,578.292875,-40.21013,957.591011,583.154145,-39.101961,967.20879,578.292875,-388.915915,-40.21013,1.672524
decode_normalize_hot,hot,decode+normalize,hyperliquid,private data,hyperliquid_positions,219,1058.356419,538.710754,-49.099307,1071.638559,540.141629,-49.59666,1072.244897,536.09303,-50.002744,1071.638559,538.710754,-531.49693,-49.59666,1.983995
decode_normalize_hot,hot,decode+normalize,hyperliquid,public data,hyperliquid_trade,121,642.614152,344.014371,-46.466418,646.621124,354.258113,-45.213959,655.023862,349.01421,-46.717329,646.621124,349.01421,-298.599781,-46.466418,1.867986
decode_normalize_hot,hot,decode+normalize,okx,public data,okx_bbo,176,886.576929,614.910701,-30.642149,893.725265,623.344045,-30.253282,888.500817,618.132277,-30.429746,888.500817,618.132277,-270.381221,-30.429746,1.437396
decode_normalize_hot,hot,decode+normalize,okx,in-band heartbeat,okx_heartbeat,143,582.754627,362.938095,-37.720255,575.395482,369.916333,-35.710942,577.264892,370.852975,-35.75688,577.264892,369.916333,-206.411917,-35.75688,1.556587
decode_normalize_hot,hot,decode+normalize,okx,private data,okx_order,392,1260.155842,847.484718,-32.747626,1267.025636,867.487236,-31.533569,1263.179743,863.716086,-31.623659,1263.179743,863.716086,-399.5384,-31.623659,1.462494
decode_normalize_hot,hot,decode+normalize,okx,public data,okx_snapshot,228,1038.201844,710.7195,-31.543225,1042.151369,725.585534,-30.376186,1041.519672,721.516376,-30.724652,1041.519672,721.516376,-320.003295,-30.724652,1.443515
decode_normalize_hot,hot,decode+normalize,okx,public data,okx_trade,174,650.718769,437.205807,-32.811865,656.690385,451.203646,-31.291267,661.34563,445.578097,-32.625532,656.690385,445.578097,-213.512962,-32.625532,1.484242
decode_only_fallback,fallback,decode-only,binance,fallback/control,binance_ack,36,360.313257,501.315815,39.133325,372.825714,510.939865,37.045232,357.707217,502.956089,40.605519,360.313257,502.956089,141.002558,39.133325,0.718735
decode_only_fallback,fallback,decode-only,binance,fallback/control,binance_error,62,442.49012,602.644867,36.193971,453.359325,611.176829,34.810689,442.904886,616.201481,39.127271,442.904886,611.176829,160.154747,36.193971,0.734247
decode_only_fallback,fallback,decode-only,binance,fallback/control,binance_positions_ack,36,357.523059,487.588905,36.379708,365.362371,499.937608,36.83336,360.321656,494.832242,37.330697,360.321656,494.832242,134.510586,36.83336,0.730816
decode_only_fallback,fallback,decode-only,gate,fallback/control,gate_ack,78,538.097047,763.284785,41.848908,541.677672,783.617819,44.664966,535.091962,774.338591,44.711311,538.097047,774.338591,239.246629,44.664966,0.691252
decode_only_fallback,fallback,decode-only,gate,fallback/control,gate_error,91,474.050451,692.68167,46.119821,480.584246,697.25619,45.085112,477.730249,703.855356,47.333219,477.730249,697.25619,218.631219,46.119821,0.68437
decode_only_fallback,fallback,decode-only,gate,fallback/control,gate_single_ack,78,543.205821,752.273836,38.487808,548.475606,782.092371,42.59383,545.862166,750.397185,37.470085,545.862166,752.273836,209.068015,38.487808,0.722085
decode_only_fallback,fallback,decode-only,hyperliquid,fallback/control,hyperliquid_bbo_pong,18,175.350233,314.190523,79.178845,176.123011,321.044796,82.284413,177.677421,317.169364,78.508536,176.123011,317.169364,139.491942,79.178845,0.558102
decode_only_fallback,fallback,decode-only,hyperliquid,fallback/control,hyperliquid_error,52,637.549831,833.026935,30.660679,643.767612,839.945073,30.473335,645.481333,843.358067,30.655687,643.767612,839.945073,196.177461,30.655687,0.76537
decode_only_fallback,fallback,decode-only,hyperliquid,fallback/control,hyperliquid_l2_pong,18,176.721606,316.956123,79.353351,178.529618,317.774203,77.995229,176.165176,316.689686,79.768609,176.721606,316.956123,140.234517,79.353351,0.557559
decode_only_fallback,fallback,decode-only,hyperliquid,fallback/control,hyperliquid_pong,18,177.549341,321.853507,81.275529,177.808656,323.079452,81.700632,176.933708,318.924879,80.251056,177.549341,321.853507,144.304166,81.275529,0.551646
decode_only_fallback,fallback,decode-only,hyperliquid,fallback/control,hyperliquid_positions_pong,18,178.622392,320.000185,79.148976,183.887077,324.530568,76.483619,177.10977,317.758712,79.413429,178.622392,320.000185,140.648942,79.148976,0.558195
decode_only_fallback,fallback,decode-only,okx,fallback/control,okx_ack,73,329.787909,554.840397,68.241583,335.55985,563.275766,67.86149,339.608718,559.230689,64.669121,335.55985,559.230689,225.052488,67.86149,0.595729
decode_only_fallback,fallback,decode-only,okx,fallback/control,okx_error,104,421.971859,676.971138,60.430399,429.295816,703.479763,63.868302,421.627409,686.685308,62.865434,421.971859,686.685308,265.057899,62.865434,0.614004
decode_only_hot,hot,decode-only,binance,public data,binance_bbo,141,390.968785,213.345058,-45.43169,394.093573,216.036914,-45.181315,394.361011,216.806142,-45.023434,394.093573,216.036914,-177.623728,-45.181315,1.824196
